purchase_id,user_id,amount,timestamp
1,4371,46.69,2025-02-22
2,4371,39.95,2025-02-22
3,4371,30.75,2025-02-16
4,4371,15.89,2025-02-16
5,1728,40.12,2025-01-04
6,1728,37.54,2025-01-07
7,1728,25.75,2025-01-10
8,1728,43.76,2025-01-12
9,1728,9.93,2025-01-05
10,1895,28.99,2025-01-22
11,1895,21.23,2025-01-22
12,1895,11.92,2025-01-20
13,1895,9.67,2025-01-16
14,1895,30.41,2025-01-19
15,5690,23.85,2025-01-20
16,3821,16.55,2025-03-12
17,3821,16.22,2025-03-11
18,3821,28.49,2025-03-12
19,3821,12.74,2025-03-10
20,3821,13.42,2025-03-16
21,2169,9.1,2025-02-05
22,3203,14.97,2025-02-12
23,3203,32.83,2025-02-10
24,3203,49.49,2025-02-13
25,2716,7.57,2025-02-06
26,2716,18.67,2025-02-08
27,4260,17.57,2025-02-19
28,4260,14.66,2025-02-22
29,4260,21.59,2025-02-16
30,4260,16.14,2025-02-23
31,4260,32.04,2025-02-14
32,3523,12.52,2025-01-28
33,1052,14.28,2025-03-23
34,1052,27.78,2025-03-21
35,1052,7.1,2025-03-30
36,2379,14.34,2025-02-16
37,2379,32.44,2025-02-16
38,2379,11.89,2025-02-14
39,2379,12.58,2025-02-13
40,5028,29.91,2025-02-01
41,5028,9.46,2025-02-04
42,5028,37.02,2025-02-01
43,1012,9.11,2025-01-09
44,1012,6.49,2025-01-11
45,1012,24.04,2025-01-06
46,1012,11.06,2025-01-06
47,1793,33.07,2025-02-18
48,1793,16.88,2025-02-16
49,1793,41.23,2025-02-18
50,1793,31.17,2025-02-26
51,1572,5.45,2025-02-14
52,4422,45.63,2025-03-02
53,4422,6.8,2025-03-01
54,5300,36.87,2025-01-09
55,5300,30.95,2025-01-07
56,5300,20.42,2025-01-13
57,5300,41.66,2025-01-08
58,5300,46.85,2025-01-17
59,4414,38.96,2025-01-23
60,4414,8.84,2025-01-24
61,3362,40.03,2025-02-03
62,3362,47.96,2025-02-03
63,3362,28.02,2025-02-04
64,3362,42.92,2025-02-08
65,3362,11.7,2025-02-04
66,4530,44.82,2025-01-21
67,4530,16.74,2025-01-14
68,4530,9.41,2025-01-19
69,4530,28.08,2025-01-12
70,2397,28.08,2025-02-08
71,2397,41.59,2025-01-29
72,2397,28.13,2025-01-30
73,2445,44.54,2025-03-06
74,4069,2.05,2025-03-08
75,4069,3.14,2025-03-09
76,4069,20.49,2025-03-12
77,4069,33.45,2025-03-11
78,2526,20.46,2025-02-04
79,2526,25.6,2025-01-26
80,2100,6.87,2025-03-23
81,2622,5.65,2025-01-25
82,2622,7.67,2025-01-25
83,2622,44.98,2025-01-21
84,4985,10.54,2025-01-20
85,4985,18.06,2025-01-26
86,4985,34.6,2025-01-20
87,4985,44.86,2025-01-20
88,4985,16.47,2025-01-28
89,2490,44.01,2025-01-15
90,2490,45.97,2025-01-14
91,2490,19.71,2025-01-20
92,5117,39.86,2025-02-10
93,5117,39.32,2025-02-11
94,5117,17.36,2025-02-11
95,1903,36.61,2025-03-05
96,1903,41.09,2025-03-05
97,1903,29.73,2025-02-27
98,1903,8.93,2025-03-02
99,4691,10.72,2025-01-10
100,4691,18.92,2025-01-14
101,4691,22.33,2025-01-15
102,5645,40.08,2025-03-29
103,5645,8.62,2025-03-25
104,5645,46.23,2025-03-30
105,5645,22.09,2025-03-26
106,2741,27.61,2025-03-07
107,2741,27.73,2025-03-07
108,2741,20.45,2025-03-02
109,2741,36.31,2025-03-08
110,2520,39.27,2025-01-31
111,2520,35.74,2025-01-25
112,2520,19.35,2025-01-25
113,2520,49.7,2025-01-25
114,2520,19.39,2025-01-22
115,2646,46.19,2025-01-26
116,2646,45.74,2025-01-24
117,2646,42.73,2025-01-29
118,2646,16.14,2025-01-26
119,1483,48.64,2025-02-26
120,1483,13.63,2025-02-24
121,2496,37.85,2025-02-23
122,2496,48.17,2025-02-24
123,2571,37.18,2025-01-16
124,2571,19.83,2025-01-16
125,3124,29.91,2025-03-16
126,4348,43.77,2025-03-01
127,4348,9.04,2025-02-20
128,4348,5.78,2025-02-22
129,4348,2.59,2025-02-21
130,4610,38.73,2025-02-07
131,4610,37.68,2025-02-12
132,4610,35.52,2025-02-13
133,4610,24.56,2025-02-09
134,1894,39.5,2025-03-05
135,1894,15.75,2025-02-26
136,1894,4.87,2025-02-28
137,2360,38.04,2025-01-18
138,1653,2.51,2025-02-03
139,1653,34.63,2025-02-07
140,1653,28.59,2025-02-08
141,1653,46.11,2025-02-05
142,1653,16.68,2025-02-09
143,3401,46.7,2025-03-18
144,3401,48.7,2025-03-16
145,1702,48.93,2025-03-03
146,1702,37.66,2025-02-27
147,1702,31.7,2025-03-03
148,1702,20.82,2025-02-28
149,1702,31.03,2025-03-05
150,4094,24.91,2025-03-22
151,2021,9.9,2025-02-20
152,2021,33.03,2025-02-19
153,2021,14.95,2025-02-17
154,2021,5.72,2025-02-15
155,3267,3.34,2025-02-09
156,3267,9.8,2025-02-08
157,3267,5.13,2025-02-05
158,3267,2.52,2025-02-13
159,3267,11.0,2025-02-08
160,1526,46.59,2025-02-04
161,1526,14.91,2025-01-28
162,3802,4.14,2025-03-03
163,3802,4.18,2025-03-01
164,3802,6.46,2025-02-27
165,3802,2.4,2025-02-26
166,3802,38.07,2025-02-27
167,1243,11.34,2025-01-26
168,1243,36.82,2025-01-24
169,1243,35.72,2025-01-20
170,1243,17.89,2025-01-19
171,5797,26.09,2025-01-21
172,5797,3.13,2025-01-22
173,5797,24.88,2025-01-26
174,5797,15.92,2025-01-20
175,5797,34.74,2025-01-22
176,2923,6.47,2025-02-13
177,4914,40.75,2025-03-24
178,4914,8.75,2025-03-31
179,4974,26.77,2025-03-02
180,4974,33.26,2025-03-03
181,1825,39.69,2025-01-14
