user_id,reg_date,country,device,channel
1000,2025-01-15,UK,iOS,Google Search
1001,2025-01-04,Ukraine,Android,Google Search
1002,2025-02-05,Poland,Android,Organic
1003,2025-02-01,Germany,Android,Google Search
1004,2025-01-29,UK,iOS,Organic
1005,2025-01-18,UK,iOS,Facebook Ads
1006,2025-01-14,Ukraine,iOS,Organic
1007,2025-03-11,UK,Android,Organic
1008,2025-01-12,UK,Android,Facebook Ads
1009,2025-03-17,Ukraine,Android,Google Search
1010,2025-02-24,Ukraine,iOS,Facebook Ads
1011,2025-01-05,Germany,Android,Organic
1012,2025-01-04,Poland,Android,Organic
1013,2025-01-12,UK,iOS,Organic
1014,2025-01-28,UK,iOS,Facebook Ads
1015,2025-01-30,Ukraine,iOS,Facebook Ads
1016,2025-03-06,Germany,iOS,Facebook Ads
1017,2025-03-19,UK,Android,Google Search
1018,2025-01-04,Germany,Android,Organic
1019,2025-03-13,USA,iOS,Organic
1020,2025-01-26,Ukraine,Android,Organic
1021,2025-03-11,UK,iOS,Google Search
1022,2025-02-23,Germany,iOS,TikTok
1023,2025-01-29,Poland,iOS,Organic
1024,2025-02-27,Germany,Android,TikTok
1025,2025-03-17,Germany,Android,Organic
1026,2025-02-05,USA,iOS,Facebook Ads
1027,2025-01-01,UK,Android,Facebook Ads
1028,2025-01-21,UK,Android,Organic
1029,2025-02-24,Ukraine,iOS,Facebook Ads
1030,2025-02-13,Germany,Android,Google Search
1031,2025-02-05,Poland,iOS,Organic
1032,2025-01-20,USA,iOS,Organic
1033,2025-01-28,Germany,Android,Organic
1034,2025-02-13,Poland,Android,Facebook Ads
1035,2025-01-14,Ukraine,Android,Google Search
1036,2025-01-12,USA,iOS,Organic
1037,2025-02-18,UK,iOS,TikTok
1038,2025-01-13,UK,Android,Organic
1039,2025-02-15,Germany,Android,TikTok
1040,2025-02-14,USA,iOS,Organic
1041,2025-03-19,Poland,Android,Organic
1042,2025-02-03,Ukraine,iOS,Facebook Ads
1043,2025-01-06,Ukraine,Android,Organic
1044,2025-02-28,UK,iOS,Organic
1045,2025-03-10,UK,Android,Organic
1046,2025-01-16,Ukraine,iOS,Google Search
1047,2025-02-18,UK,Android,Organic
1048,2025-01-11,Ukraine,Android,Google Search
1049,2025-03-12,Germany,iOS,Organic
1050,2025-02-07,Poland,Android,Facebook Ads
1051,2025-03-22,USA,Android,Organic
1052,2025-03-21,Germany,Android,Facebook Ads
1053,2025-02-16,USA,Android,Facebook Ads
1054,2025-03-15,Ukraine,Android,Google Search
1055,2025-01-25,Poland,Android,Organic
1056,2025-01-09,Germany,iOS,Google Search
1057,2025-01-06,UK,iOS,Facebook Ads
1058,2025-01-30,USA,iOS,Organic
1059,2025-02-07,USA,iOS,Google Search
1060,2025-01-11,UK,iOS,TikTok
1061,2025-01-30,Germany,iOS,TikTok
1062,2025-01-13,UK,Android,Organic
1063,2025-02-18,USA,iOS,Google Search
1064,2025-02-05,UK,iOS,Organic
1065,2025-02-28,USA,Android,Facebook Ads
1066,2025-02-16,Germany,iOS,Google Search
1067,2025-01-21,Poland,Android,Google Search
1068,2025-02-17,Germany,iOS,TikTok
1069,2025-02-15,UK,Android,Facebook Ads
1070,2025-01-27,UK,Android,Organic
1071,2025-02-04,Germany,iOS,Organic
1072,2025-01-10,Poland,iOS,Google Search
1073,2025-03-19,USA,Android,Facebook Ads
1074,2025-01-22,UK,Android,TikTok
1075,2025-03-10,UK,Android,Organic
1076,2025-02-01,Germany,Android,Organic
1077,2025-01-21,USA,iOS,Facebook Ads
1078,2025-03-01,USA,iOS,Google Search
1079,2025-02-18,UK,iOS,Google Search
1080,2025-02-04,USA,Android,Facebook Ads
1081,2025-03-13,Germany,Android,Facebook Ads
1082,2025-01-29,Poland,iOS,Organic
1083,2025-02-11,Ukraine,iOS,Facebook Ads
1084,2025-01-08,Poland,iOS,Facebook Ads
1085,2025-01-30,Germany,iOS,Organic
1086,2025-01-05,Poland,Android,Organic
1087,2025-02-10,Ukraine,Android,Facebook Ads
1088,2025-02-21,Poland,Android,Organic
1089,2025-02-04,UK,Android,Facebook Ads
1090,2025-01-09,Germany,iOS,Facebook Ads
1091,2025-01-28,USA,Android,Facebook Ads
1092,2025-03-14,UK,Android,Organic
1093,2025-02-10,UK,Android,Facebook Ads
1094,2025-01-28,Ukraine,Android,Facebook Ads
1095,2025-03-05,Poland,Android,Google Search
1096,2025-02-20,Germany,Android,Organic
1097,2025-02-28,Ukraine,Android,Facebook Ads
1098,2025-01-19,Ukraine,iOS,Google Search
1099,2025-02-03,Poland,iOS,Facebook Ads
1100,2025-01-18,Germany,iOS,Google Search
1101,2025-02-01,UK,Android,Organic
1102,2025-03-13,Germany,iOS,Organic
1103,2025-03-10,Ukraine,Android,Google Search
1104,2025-02-03,Ukraine,Android,Google Search
1105,2025-03-16,USA,iOS,Facebook Ads
1106,2025-02-24,Poland,Android,Google Search
1107,2025-03-16,USA,Android,Facebook Ads
1108,2025-02-21,Ukraine,iOS,Organic
1109,2025-02-16,UK,iOS,TikTok
1110,2025-01-29,Ukraine,iOS,TikTok
1111,2025-01-18,Germany,iOS,Organic
1112,2025-03-07,Germany,Android,Organic
1113,2025-03-05,UK,Android,Organic
1114,2025-01-12,UK,Android,Facebook Ads
1115,2025-01-07,USA,Android,Organic
1116,2025-01-15,UK,Android,Google Search
1117,2025-01-20,Ukraine,iOS,Google Search
1118,2025-03-22,Poland,Android,Organic
1119,2025-01-21,Germany,Android,Facebook Ads
1120,2025-02-24,Germany,Android,Google Search
1121,2025-03-18,Ukraine,Android,TikTok
1122,2025-01-09,Poland,iOS,Facebook Ads
1123,2025-02-19,UK,iOS,Google Search
1124,2025-02-18,USA,iOS,TikTok
1125,2025-03-18,Poland,Android,Organic
1126,2025-03-01,Ukraine,Android,Organic
1127,2025-03-09,UK,Android,Facebook Ads
1128,2025-02-02,UK,iOS,Google Search
1129,2025-03-12,UK,Android,Organic
1130,2025-01-02,Poland,Android,Organic
1131,2025-01-15,UK,iOS,Organic
1132,2025-03-10,Poland,iOS,Facebook Ads
1133,2025-02-04,Ukraine,iOS,Facebook Ads
1134,2025-02-13,USA,Android,TikTok
1135,2025-01-15,Poland,iOS,Google Search
1136,2025-02-07,Ukraine,Android,Organic
1137,2025-02-25,Poland,Android,Facebook Ads
1138,2025-01-21,Ukraine,iOS,Organic
1139,2025-02-28,USA,Android,TikTok
1140,2025-01-01,Germany,Android,Organic
1141,2025-02-03,USA,iOS,Facebook Ads
1142,2025-03-06,Germany,Android,Organic
1143,2025-01-23,Germany,iOS,Organic
1144,2025-03-06,UK,iOS,Google Search
1145,2025-01-14,Poland,iOS,Organic
1146,2025-03-22,UK,Android,Organic
1147,2025-02-08,Ukraine,Android,Organic
1148,2025-03-06,Ukraine,iOS,Organic
1149,2025-03-19,Ukraine,iOS,Facebook Ads
1150,2025-01-26,UK,Android,Google Search
1151,2025-01-20,USA,iOS,Facebook Ads
1152,2025-02-17,UK,iOS,TikTok
1153,2025-01-21,UK,Android,Organic
1154,2025-03-11,USA,Android,Organic
1155,2025-03-09,USA,iOS,Google Search
1156,2025-01-01,USA,Android,Facebook Ads
1157,2025-03-18,Poland,Android,Organic
1158,2025-02-11,UK,iOS,Google Search
1159,2025-03-04,Poland,Android,Facebook Ads
1160,2025-01-03,Germany,iOS,Organic
1161,2025-01-15,Germany,Android,Facebook Ads
1162,2025-02-16,UK,Android,Google Search
1163,2025-02-09,Ukraine,Android,Google Search
1164,2025-01-31,USA,iOS,Facebook Ads
1165,2025-01-08,Poland,Android,TikTok
1166,2025-01-31,Germany,iOS,Facebook Ads
1167,2025-03-14,UK,iOS,Facebook Ads
1168,2025-01-11,Ukraine,iOS,Facebook Ads
1169,2025-01-11,UK,Android,Organic
1170,2025-03-04,Ukraine,Android,Google Search
1171,2025-01-09,UK,iOS,Organic
1172,2025-03-10,USA,Android,Facebook Ads
1173,2025-01-17,USA,iOS,Facebook Ads
1174,2025-01-17,Ukraine,Android,Google Search
1175,2025-03-02,UK,iOS,Organic
1176,2025-03-12,USA,Android,Organic
1177,2025-01-22,UK,iOS,Facebook Ads
1178,2025-02-03,UK,Android,Organic
1179,2025-03-09,USA,iOS,TikTok
1180,2025-03-19,Germany,iOS,Google Search
1181,2025-02-24,Germany,iOS,Organic
1182,2025-01-28,UK,Android,Facebook Ads
1183,2025-03-11,Germany,Android,TikTok
1184,2025-01-26,Poland,iOS,Organic
1185,2025-02-09,USA,Android,TikTok
1186,2025-02-21,Germany,Android,Organic
1187,2025-02-17,Germany,Android,Google Search
1188,2025-02-26,UK,Android,TikTok
1189,2025-03-08,Ukraine,iOS,Facebook Ads
1190,2025-02-27,Germany,iOS,Google Search
1191,2025-01-16,Ukraine,Android,Organic
1192,2025-02-01,USA,Android,Organic
1193,2025-01-29,Ukraine,Android,TikTok
1194,2025-01-09,Germany,iOS,Facebook Ads
1195,2025-02-13,Poland,iOS,Organic
1196,2025-01-03,Poland,Android,Organic
1197,2025-03-17,USA,Android,Facebook Ads
1198,2025-03-12,Germany,Android,Google Search
1199,2025-01-30,USA,Android,Facebook Ads
1200,2025-03-17,UK,Android,Google Search
1201,2025-01-29,UK,iOS,TikTok
1202,2025-01-01,Ukraine,iOS,Organic
1203,2025-01-10,USA,Android,Organic
1204,2025-03-22,Poland,Android,TikTok
1205,2025-01-08,USA,iOS,Google Search
1206,2025-01-30,Ukraine,iOS,Organic
1207,2025-01-09,Germany,Android,Google Search
1208,2025-01-05,USA,iOS,Organic
1209,2025-02-12,Ukraine,iOS,Facebook Ads
1210,2025-01-10,UK,Android,TikTok
1211,2025-03-07,Poland,Android,Facebook Ads
1212,2025-01-31,Germany,Android,Google Search
1213,2025-02-05,USA,iOS,Organic
1214,2025-03-04,USA,Android,Google Search
1215,2025-01-28,Poland,iOS,Organic
1216,2025-03-11,UK,iOS,Google Search
1217,2025-01-17,USA,Android,Organic
1218,2025-03-15,Poland,Android,Facebook Ads
1219,2025-03-15,Poland,Android,Facebook Ads
1220,2025-03-02,Germany,Android,Facebook Ads
1221,2025-02-01,Poland,Android,Google Search
1222,2025-03-02,Poland,iOS,Facebook Ads
1223,2025-02-22,Poland,iOS,Google Search
1224,2025-01-25,USA,iOS,Google Search
1225,2025-01-13,Poland,iOS,Facebook Ads
1226,2025-01-13,Poland,Android,Organic
1227,2025-02-25,Poland,iOS,Organic
1228,2025-02-15,Poland,Android,Facebook Ads
1229,2025-02-24,UK,Android,Organic
1230,2025-02-22,USA,Android,Organic
1231,2025-03-01,Poland,Android,Google Search
1232,2025-01-07,Ukraine,Android,Organic
1233,2025-01-13,Ukraine,Android,Google Search
1234,2025-01-08,Ukraine,iOS,Organic
1235,2025-02-21,Germany,Android,Facebook Ads
1236,2025-02-13,UK,iOS,Organic
1237,2025-01-14,Ukraine,iOS,Organic
1238,2025-02-01,UK,Android,Facebook Ads
1239,2025-01-25,Ukraine,iOS,Google Search
1240,2025-01-25,Germany,Android,TikTok
1241,2025-03-10,USA,Android,Google Search
1242,2025-02-27,UK,Android,Organic
1243,2025-01-18,USA,iOS,TikTok
1244,2025-02-24,Germany,iOS,Organic
1245,2025-01-24,UK,Android,Organic
1246,2025-02-05,USA,Android,Organic
1247,2025-03-01,Germany,Android,Organic
1248,2025-02-01,Poland,Android,Google Search
1249,2025-01-10,UK,Android,Google Search
1250,2025-02-26,USA,iOS,Google Search
1251,2025-03-12,Germany,iOS,TikTok
1252,2025-01-13,Poland,Android,Organic
1253,2025-01-07,UK,iOS,Facebook Ads
1254,2025-03-11,Poland,iOS,Organic
1255,2025-01-02,Ukraine,Android,Google Search
1256,2025-01-12,UK,Android,Facebook Ads
1257,2025-01-31,Germany,Android,Organic
1258,2025-01-22,Germany,Android,Google Search
1259,2025-02-22,UK,iOS,Organic
1260,2025-03-04,Ukraine,Android,Facebook Ads
1261,2025-03-03,UK,Android,Organic
1262,2025-01-28,USA,iOS,Organic
1263,2025-02-21,Germany,Android,Facebook Ads
1264,2025-01-08,Poland,Android,TikTok
1265,2025-01-22,Germany,Android,Organic
1266,2025-02-18,Ukraine,Android,Facebook Ads
1267,2025-01-01,UK,Android,Google Search
1268,2025-02-19,Germany,iOS,Organic
1269,2025-02-03,USA,iOS,Google Search
1270,2025-02-28,Ukraine,Android,Facebook Ads
1271,2025-02-06,Ukraine,Android,Facebook Ads
1272,2025-02-24,Poland,Android,Facebook Ads
1273,2025-03-13,Germany,Android,Organic
1274,2025-03-04,UK,Android,Google Search
1275,2025-01-20,Ukraine,Android,Facebook Ads
1276,2025-01-25,USA,Android,Facebook Ads
1277,2025-02-07,USA,Android,Google Search
1278,2025-01-28,UK,Android,TikTok
1279,2025-01-08,USA,Android,Google Search
1280,2025-03-16,Poland,Android,TikTok
1281,2025-03-11,UK,iOS,Google Search
1282,2025-01-08,USA,iOS,Facebook Ads
1283,2025-02-10,Poland,iOS,Organic
1284,2025-01-08,USA,Android,Google Search
1285,2025-01-07,Germany,iOS,Organic
1286,2025-03-16,UK,Android,TikTok
1287,2025-03-03,USA,Android,Facebook Ads
1288,2025-03-06,USA,iOS,Facebook Ads
1289,2025-03-09,Poland,Android,Organic
1290,2025-01-21,Germany,iOS,Facebook Ads
1291,2025-01-08,Germany,iOS,Facebook Ads
1292,2025-03-07,Poland,Android,Facebook Ads
1293,2025-01-11,Germany,iOS,Facebook Ads
1294,2025-01-24,USA,iOS,Organic
1295,2025-01-09,USA,Android,Facebook Ads
1296,2025-03-18,Germany,Android,Google Search
1297,2025-01-09,USA,iOS,Organic
1298,2025-01-31,Germany,Android,Google Search
1299,2025-02-21,Poland,iOS,Facebook Ads
1300,2025-01-16,UK,iOS,Organic
1301,2025-03-14,Poland,Android,Facebook Ads
1302,2025-02-01,UK,Android,Organic
1303,2025-03-16,Poland,Android,Organic
1304,2025-03-18,Ukraine,Android,Google Search
1305,2025-01-06,USA,Android,Organic
1306,2025-03-21,Poland,Android,Google Search
1307,2025-01-11,UK,iOS,Google Search
1308,2025-02-23,Germany,Android,Organic
1309,2025-03-16,Germany,iOS,Organic
1310,2025-03-14,Poland,Android,Google Search
1311,2025-03-08,Poland,iOS,Organic
1312,2025-02-10,Poland,iOS,TikTok
1313,2025-02-03,Germany,Android,TikTok
1314,2025-01-27,Ukraine,Android,Organic
1315,2025-02-10,Poland,Android,Google Search
1316,2025-01-31,Germany,Android,Facebook Ads
1317,2025-02-03,Germany,iOS,TikTok
1318,2025-02-20,Poland,iOS,Facebook Ads
1319,2025-01-17,UK,iOS,Organic
1320,2025-02-08,UK,Android,Facebook Ads
1321,2025-02-28,USA,Android,Facebook Ads
1322,2025-02-10,Germany,Android,Google Search
1323,2025-01-10,USA,iOS,TikTok
1324,2025-01-02,USA,Android,Facebook Ads
1325,2025-02-28,UK,Android,Organic
1326,2025-03-21,UK,Android,Facebook Ads
1327,2025-03-14,Ukraine,Android,Facebook Ads
1328,2025-01-13,Germany,Android,Google Search
1329,2025-01-10,Ukraine,iOS,Organic
1330,2025-03-10,Poland,iOS,Facebook Ads
1331,2025-01-28,Ukraine,Android,Google Search
1332,2025-03-06,Poland,iOS,Facebook Ads
1333,2025-02-03,USA,iOS,Google Search
1334,2025-01-17,Germany,iOS,TikTok
1335,2025-02-14,Ukraine,iOS,TikTok
1336,2025-01-09,Germany,Android,Google Search
1337,2025-02-01,USA,Android,Organic
1338,2025-02-17,USA,Android,TikTok
1339,2025-02-06,USA,iOS,Facebook Ads
1340,2025-01-21,USA,Android,Organic
1341,2025-02-26,UK,Android,TikTok
1342,2025-03-11,UK,iOS,Facebook Ads
1343,2025-02-08,USA,Android,Facebook Ads
1344,2025-03-20,USA,iOS,TikTok
1345,2025-03-09,Ukraine,Android,Organic
1346,2025-01-02,Germany,Android,Facebook Ads
1347,2025-03-12,Ukraine,iOS,Facebook Ads
